Site ID,Governing LHN,Geographical LHN,Site Name,Address,Suburb,Notes,Search Address,Latitude,Longitude
113,SAAS,BHFLHN,SA Ambulance - Goolwa,13 Gardiner Street,GOOLWA,,"SA Ambulance - Goolwa, 13 Gardiner Street, GOOLWA",-35.49920007,138.7797662
114,SAAS,BHFLHN,SA Ambulance - Kapunda,12 Hill Street,KAPUNDA,,"SA Ambulance - Kapunda, 12 Hill Street, KAPUNDA",-34.34050545,138.9145883
116,SAAS,BHFLHN,SA Ambulance - Kingscote,17 Murray Street,KINGSCOTE,,"SA Ambulance - Kingscote, 17 Murray Street, KINGSCOTE",-35.65464312,137.6367924
117,SAAS,BHFLHN,SA Ambulance - Mallala,Adelaide Road,MALLALA,,"SA Ambulance - Mallala, Adelaide Road, MALLALA",-34.43867938,138.5096688
118,SAAS,BHFLHN,SA Ambulance - Meadows,64 Mawson Road,MEADOWS,,"SA Ambulance - Meadows, 64 Mawson Road, MEADOWS",-35.1810693,138.7624586
119,SAAS,BHFLHN,SA Ambulance - Mount Barker,361 Bald Hills Road,MOUNT BARKER,,"SA Ambulance - Mount Barker, 361 Bald Hills Road, MOUNT BARKER",-35.07144581,138.8894221
120,SAAS,BHFLHN,SA Ambulance - Parndana,2 Cook Street,PARNDANA,,"SA Ambulance - Parndana, 2 Cook Street, PARNDANA",-35.78993711,137.2608587
121,SAAS,BHFLHN,SA Ambulance - Stirling,298 Mount Barker Road ,ALDGATE,,"SA Ambulance - Stirling, 298 Mount Barker Road , ALDGATE",-35.01236688,138.7437125
122,SAAS,BHFLHN,SA Ambulance - Strathalbyn,25 Dry Plains Road,STRATHALBYN,,"SA Ambulance - Strathalbyn, 25 Dry Plains Road, STRATHALBYN",-35.27319026,138.8962208
123,SAAS,BHFLHN,SA Ambulance - Victor Harbor,40 Adelaide Road,HAYBOROUGH,,"SA Ambulance - Victor Harbor, 40 Adelaide Road, HAYBOROUGH",-35.53229025,138.6386397
124,SAAS,BHFLHN,SA Ambulance - Woodside,10 Nairne Road ,WOODSIDE,,"SA Ambulance - Woodside, 10 Nairne Road , WOODSIDE",-34.95359084,138.8759364
125,SAAS,CALHN,SA Ambulance - Adelaide,89 Richmond Road (rear building),MILE END SOUTH,,"SA Ambulance - Adelaide, 89 Richmond Road (rear building), MILE END SOUTH",-34.94142393,138.5745752
126,SAAS,CALHN,SA Ambulance - Brooklyn Park,Airport Road,BROOKLYN PARK,,"SA Ambulance - Brooklyn Park, Airport Road, BROOKLYN PARK",-34.93044767,138.541742
127,SAAS,CALHN,SA Ambulance - Campbelltown,161 Montacute Road,NEWTON,,"SA Ambulance - Campbelltown, 161 Montacute Road, NEWTON",-34.88828604,138.676775
128,SAAS,CALHN,SA Ambulance - Eastwood,216 Greenhill Road,EASTWOOD,,"SA Ambulance - Eastwood, 216 Greenhill Road, EASTWOOD",-34.94083697,138.6191453
129,SAAS,CALHN,SA Ambulance - Eastwood,205 Greenhill Road,EASTWOOD,,"SA Ambulance - Eastwood, 205 Greenhill Road, EASTWOOD",-34.94083697,138.6191453
130,SAAS,CALHN,SA Ambulance - Emergency Ops Centre,89 Richmond Road (front building),MILE END SOUTH,,"SA Ambulance - Emergency Ops Centre, 89 Richmond Road (front building), MILE END SOUTH",-34.94139859,138.574598
131,SAAS,CALHN,SA Ambulance - Fulham Gardens,396 Grange Road,FULHAM,,"SA Ambulance - Fulham Gardens, 396 Grange Road, FULHAM",-34.90661813,138.5198202
132,SAAS,CALHN,SA Ambulance - Norwood,221 Portrush Road,MAYLANDS,,"SA Ambulance - Norwood, 221 Portrush Road, MAYLANDS",-34.91466692,138.6399079
133,SAAS,CALHN,SA Ambulance - Parkside,6-8 Glen Osmond Road,PARKSIDE,,"SA Ambulance - Parkside, 6-8 Glen Osmond Road, PARKSIDE",-34.9411108,138.6160653
134,SAAS,CALHN,SA Ambulance - Port Adelaide,3-5 Santo Parade,PORT ADELAIDE,,"SA Ambulance - Port Adelaide, 3-5 Santo Parade, PORT ADELAIDE",-34.84260685,138.5115231
135,SAAS,CALHN,SA Ambulance - Prospect,478-480 Regency Road,PROSPECT,,"SA Ambulance - Prospect, 478-480 Regency Road, PROSPECT",-34.87330498,138.6003149
136,SAAS,CALHN,SA Ambulance - RRAS Rescue and Retrieval,2 Sir Reginald Ansett Drive,ADELAIDE AIRPORT,,"SA Ambulance - RRAS Rescue and Retrieval, 2 Sir Reginald Ansett Drive, ADELAIDE AIRPORT",-34.94688557,138.5213205
137,SAAS,CALHN,SA Ambulance - SAAS/MedSTAR (Babcock),5 Sir Reginald Ansett Drive,ADELAIDE AIRPORT,Note: Note a SAAS site; SAAS provides a medical waste bin on site as part of a contract with Babcock.,"SA Ambulance - SAAS/MedSTAR (Babcock), 5 Sir Reginald Ansett Drive, ADELAIDE AIRPORT",-34.94713501,138.5210358
138,SAAS,CALHN,SA Ambulance - Woodville,98 Hanson Road,WOODVILLE GARDENS,,"SA Ambulance - Woodville, 98 Hanson Road, WOODVILLE GARDENS",-34.86500157,138.5478996
139,SAAS,EFNLHN,SA Ambulance - Ceduna,32 Poynton Street,CEDUNA,,"SA Ambulance - Ceduna, 32 Poynton Street, CEDUNA",-32.12764402,133.6740881
140,SAAS,EFNLHN,SA Ambulance - Cleve,20 Fourth Street,CLEVE,,"SA Ambulance - Cleve, 20 Fourth Street, CLEVE",-33.70085041,136.493865
